,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
50,47,Self-emp-inc,HS-grad,9,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,60,United-States,<=50K
51,43,Private-h1,Some-college,10,Married-h2,Tech-support,Husband,White-h1,Male,0,0,40,United-States,>50K
52,46,Private-h1,5th-6th,3,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,Mexico,<=50K
53,35,Private-h1,Assoc-voc,11,Married-h2,Other-service,Husband,White-h1,Male,0,0,40,Puerto-Rico,<=50K
54,41,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,48,United-States,<=50K
55,30,Private-h1,HS-grad,9,Married-h2,Machine-op-inspct,Husband,White-h1,Male,5013,0,40,United-States,<=50K
56,30,Private-h1,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,2407,0,40,United-States,<=50K
57,48,Private-h1,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,40,United-States,<=50K
58,42,Private-h1,Doctorate,16,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,45,United-States,>50K
59,29,Private-h1,Some-college,10,Alone,Tech-support,Not-in-family,White-h1,Male,0,0,58,United-States,<=50K
60,36,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
61,28,Private-h1,Some-college,10,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
62,53,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,40,United-States,>50K
63,49,Self-emp-inc,Some-college,10,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,50,United-States,>50K
64,19,Private-h1,Some-college,10,Alone,Prof-specialty,Own-child,White-h1,Male,0,0,32,United-States,<=50K
65,31,Private-h1,Bachelors,13,Married-h2,Sales,Own-child,Non-White,Female,0,0,40,United-States,<=50K
66,29,Self-employed,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,0,0,70,United-States,>50K
67,23,Private-h1,Some-college,10,Alone,Machine-op-inspct,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
68,79,Private-h1,Some-college,10,Married-h2,Prof-specialty,Other-relative,White-h1,Male,0,0,20,United-States,<=50K
69,27,Private-h1,HS-grad,9,Alone,Other-service,Own-child,White-h1,Male,0,0,40,Mexico,<=50K
70,40,Private-h1,Assoc-acdm,12,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,United-States,<=50K
71,18,Private-h1,11th,7,Alone,Other-service,Own-child,White-h1,Female,0,0,22,United-States,<=50K
72,31,government department,7th-8th,4,Married-h2,Farming-fishing,Husband,White-h1,Male,0,0,40,United-States,<=50K
73,18,Private-h1,HS-grad,9,Alone,Sales,Not-in-family,White-h1,Male,0,0,30,United-States,<=50K
74,52,Private-h1,Bachelors,13,Married-h2,Other-service,Husband,White-h1,Male,0,0,40,Cuba,<=50K
75,46,Private-h1,HS-grad,9,Married-h2,Other-service,Wife,White-h1,Female,0,0,40,United-States,<=50K
76,59,Private-h1,HS-grad,9,Married-h2,Sales,Husband,White-h1,Male,0,0,48,United-States,<=50K
77,44,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Female,14344,0,40,United-States,>50K
78,53,Private-h1,HS-grad,9,Alone,Sales,Own-child,White-h1,Female,0,0,35,United-States,<=50K
79,49,government department,HS-grad,9,Married-h2,Protective-serv,Husband,White-h1,Male,0,0,40,United-States,>50K
80,33,Private-h1,Masters,14,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,50,United-States,<=50K
81,30,Private-h1,9th,5,Alone,Sales,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
82,43,government department,Doctorate,16,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,50,United-States,>50K
83,57,Private-h1,Assoc-voc,11,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,<=50K
84,37,Private-h1,Some-college,10,Alone,Craft-repair,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
85,28,Private-h1,Some-college,10,Alone,Machine-op-inspct,Unmarried,Non-White,Female,0,0,25,United-States,<=50K
86,34,government department,Bachelors,13,Married-h2,Protective-serv,Husband,White-h1,Male,0,0,40,United-States,>50K
87,29,government department,Some-college,10,Alone,Handlers-cleaners,Not-in-family,White-h1,Male,0,0,50,United-States,<=50K
88,48,Self-employed,Doctorate,16,Married-h2,Prof-specialty,Husband,White-h1,Male,0,1902,60,United-States,>50K
89,37,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,48,United-States,>50K
90,48,Private-h1,Assoc-acdm,12,Alone,Exec-managerial,Unmarried,White-h1,Female,0,0,40,England,<=50K
91,32,government department,HS-grad,9,Alone,Other-service,Own-child,Non-White,Male,0,0,40,United-States,<=50K
92,76,Private-h1,Masters,14,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,40,United-States,>50K
93,44,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,15024,0,60,United-States,>50K
94,47,Self-employed,Masters,14,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,50,United-States,<=50K
95,20,Private-h1,Some-college,10,Alone,Tech-support,Own-child,White-h1,Female,0,0,40,United-States,<=50K
96,29,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
97,32,Self-emp-inc,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,7688,0,40,United-States,>50K
98,30,Private-h1,11th,7,Alone,Handlers-cleaners,Own-child,White-h1,Male,0,0,40,United-States,<=50K
99,31,government department,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
100,42,Private-h1,HS-grad,9,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,0,40,United-States,<=50K
101,24,Private-h1,Bachelors,13,Alone,Sales,Other-relative,White-h1,Male,0,0,40,United-States,<=50K
102,38,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,>50K
103,56,Self-employed,HS-grad,9,Married-h2,Other-service,Husband,White-h1,Male,0,1887,50,Canada,>50K
104,28,Private-h1,Some-college,10,Married-h2,Sales,Wife,White-h1,Female,4064,0,25,United-States,<=50K
105,36,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Own-child,White-h1,Female,0,0,40,United-States,<=50K
106,53,Private-h1,9th,5,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,0,50,United-States,<=50K
107,56,Self-emp-inc,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,50,United-States,<=50K
108,49,government department,Assoc-voc,11,Married-h2,Craft-repair,Husband,Non-White,Male,0,0,40,United-States,>50K
109,55,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,56,United-States,<=50K
110,22,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,41,United-States,<=50K
111,21,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Female,0,0,40,United-States,<=50K
112,40,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,60,United-States,<=50K
113,30,Private-h1,Bachelors,13,Alone,Exec-managerial,Own-child,Non-White,Male,0,0,40,Germany,<=50K
114,29,government department,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,50,United-States,>50K
115,19,Private-h1,Some-college,10,Alone,Other-service,Own-child,Non-White,Male,0,0,35,United-States,<=50K
116,47,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Wife,White-h1,Female,0,0,40,United-States,>50K
117,20,Private-h1,Some-college,10,Alone,Adm-clerical,Own-child,White-h1,Female,0,1719,28,United-States,<=50K
118,31,Private-h1,Assoc-acdm,12,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,United-States,>50K
119,39,Private-h1,Some-college,10,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
120,28,Private-h1,Assoc-acdm,12,Alone,Sales,Not-in-family,White-h1,Female,0,0,60,United-States,<=50K
121,24,Private-h1,HS-grad,9,Alone,Other-service,Not-in-family,White-h1,Female,0,1762,40,United-States,<=50K
122,38,Self-employed,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,4386,0,35,United-States,<=50K
123,37,Private-h1,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,0,0,50,United-States,<=50K
124,46,Private-h1,Assoc-acdm,12,Alone,Tech-support,Not-in-family,Non-White,Female,0,0,36,United-States,<=50K
125,38,government department,Masters,14,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,Iran,>50K
126,43,Self-employed,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,60,United-States,<=50K
127,27,Private-h1,Assoc-voc,11,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,35,United-States,<=50K
128,20,Private-h1,Some-college,10,Alone,Sales,Own-child,White-h1,Male,0,0,20,United-States,<=50K
129,49,Private-h1,Some-college,10,Married-h2,Craft-repair,Husband,Non-White,Male,0,0,40,United-States,>50K
130,61,Self-emp-inc,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
131,27,Private-h1,Some-college,10,Alone,Sales,Own-child,White-h1,Female,0,0,40,United-States,<=50K
132,19,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Male,0,0,30,Mexico,<=50K
133,45,Private-h1,Assoc-voc,11,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,1564,40,United-States,>50K
134,70,Private-h1,Some-college,10,Alone,Tech-support,Other-relative,White-h1,Male,0,0,40,United-States,<=50K
135,31,Private-h1,HS-grad,9,Alone,Transport-moving,Unmarried,Non-White,Female,0,0,30,United-States,<=50K
136,22,Private-h1,Some-college,10,Married-h2,Other-service,Husband,White-h1,Male,0,0,24,United-States,<=50K
137,36,Private-h1,HS-grad,9,Alone,Other-service,Unmarried,White-h1,Female,0,0,24,United-States,<=50K
138,64,Private-h1,11th,7,Married-h2,Craft-repair,Husband,White-h1,Male,0,2179,40,United-States,<=50K
139,47,government department,Some-college,10,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,38,Mexico,<=50K
140,34,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
141,33,Private-h1,Bachelors,13,Alone,Exec-managerial,Other-relative,Non-White,Female,0,0,40,Philippines,<=50K
142,21,Private-h1,HS-grad,9,Alone,Craft-repair,Own-child,White-h1,Male,0,0,35,United-States,<=50K
143,48,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,46,United-States,<=50K
144,23,Private-h1,Bachelors,13,Alone,Handlers-cleaners,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
145,71,Self-employed,Some-college,10,Married-h2,Sales,Unmarried,Non-White,Male,0,1816,2,United-States,<=50K
146,29,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,60,United-States,<=50K
147,42,Private-h1,Bachelors,13,Married-h2,Other-service,Other-relative,Non-White,Male,0,0,50,United-States,<=50K
148,25,Private-h1,HS-grad,9,Alone,Other-service,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
149,44,Self-emp-inc,Masters,14,Alone,Exec-managerial,Unmarried,Non-White,Female,0,0,40,United-States,<=50K
150,28,Private-h1,HS-grad,9,Alone,Exec-managerial,Not-in-family,Non-White,Female,0,0,40,England,<=50K
151,45,Self-employed,Masters,14,Married-h2,Sales,Husband,White-h1,Male,0,0,40,United-States,>50K
152,36,Private-h1,Some-college,10,Alone,Other-service,Unmarried,White-h1,Female,0,0,40,Mexico,<=50K
153,39,government department,Assoc-acdm,12,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,42,United-States,<=50K
154,46,government department,Masters,14,Alone,Protective-serv,Unmarried,White-h1,Male,0,0,40,United-States,<=50K
155,18,Private-h1,11th,7,Alone,Handlers-cleaners,Own-child,White-h1,Male,0,0,16,United-States,<=50K
156,66,government department,Assoc-voc,11,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,20,United-States,<=50K
157,27,Private-h1,HS-grad,9,Alone,Other-service,Not-in-family,White-h1,Male,0,1980,40,United-States,<=50K
158,28,government department,HS-grad,9,Married-h2,Protective-serv,Husband,White-h1,Male,0,0,40,United-States,<=50K
159,51,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,1977,40,United-States,>50K
160,27,Private-h1,Bachelors,13,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,50,United-States,<=50K
161,28,government department,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,>50K
162,27,Private-h1,HS-grad,9,Alone,Sales,Unmarried,White-h1,Female,0,0,25,United-States,<=50K
163,21,Private-h1,HS-grad,9,Alone,Craft-repair,Own-child,Non-White,Male,0,0,40,United-States,<=50K
164,34,Private-h1,HS-grad,9,Alone,Handlers-cleaners,Not-in-family,Non-White,Male,0,0,40,United-States,<=50K
165,18,Private-h1,HS-grad,9,Alone,Other-service,Own-child,White-h1,Male,0,0,12,United-States,<=50K
166,33,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,65,United-States,<=50K
167,44,government department,Some-college,10,Married-h2,Exec-managerial,Husband,Non-White,Male,0,0,38,United-States,>50K
168,43,Private-h1,Some-college,10,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
169,30,Private-h1,Some-college,10,Alone,Craft-repair,Not-in-family,Non-White,Male,0,0,45,United-States,<=50K
170,40,Private-h1,7th-8th,4,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,Mexico,>50K
171,37,government department,Some-college,10,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,42,United-States,>50K
172,34,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Husband,Non-White,Male,0,0,40,United-States,<=50K
173,41,Self-employed,Bachelors,13,Alone,Exec-managerial,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
174,31,Private-h1,Masters,14,Married-h2,Prof-specialty,Wife,White-h1,Female,0,0,50,United-States,<=50K
175,58,government department,Doctorate,16,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,1,United-States,>50K
176,38,Private-h1,Some-college,10,Alone,Machine-op-inspct,Not-in-family,Non-White,Female,0,0,28,United-States,<=50K
177,24,Private-h1,Some-college,10,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,United-States,<=50K
178,41,government department,Bachelors,13,Married-h2,Craft-repair,Husband,Non-White,Male,0,0,40,United-States,<=50K
179,47,Private-h1,Some-college,10,Married-h2,Tech-support,Husband,White-h1,Male,0,0,45,United-States,<=50K
180,41,government department,Bachelors,13,Married-h2,Tech-support,Husband,White-h1,Male,0,0,24,United-States,<=50K
181,23,Private-h1,5th-6th,3,Married-h2,Transport-moving,Other-relative,White-h1,Male,0,0,40,Mexico,<=50K
182,36,Private-h1,Some-college,10,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
183,40,government department,Masters,14,Alone,Exec-managerial,Not-in-family,White-h1,Female,14084,0,55,United-States,>50K
184,35,Private-h1,Masters,14,Married-h2,Prof-specialty,Other-relative,White-h1,Male,7298,0,40,United-States,>50K
185,24,Self-employed,HS-grad,9,Alone,Sales,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
186,26,Private-h1,Masters,14,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,1876,40,United-States,<=50K
187,51,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,50,United-States,>50K
188,42,government department,Some-college,10,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,1340,40,United-States,<=50K
189,37,government department,HS-grad,9,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,35,United-States,<=50K
190,18,Private-h1,11th,7,Alone,Sales,Own-child,White-h1,Female,0,0,40,United-States,<=50K
191,36,Private-h1,Bachelors,13,Married-h2,Other-service,Husband,Non-White,Male,7298,0,36,United-States,>50K
192,35,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,60,United-States,<=50K
193,58,Self-emp-inc,HS-grad,9,Married-h2,Sales,Wife,White-h1,Female,15024,0,35,United-States,>50K
194,17,Private-h1,11th,7,Alone,Sales,Own-child,White-h1,Female,0,0,12,United-States,<=50K
195,44,government department,HS-grad,9,Married-h2,Transport-moving,Husband,Non-White,Male,0,0,40,United-States,<=50K
196,37,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,>50K
197,35,Private-h1,Some-college,10,Alone,Sales,Not-in-family,Non-White,Female,0,0,40,United-States,<=50K
198,60,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,Non-White,Male,0,0,40,United-States,<=50K
199,54,Self-emp-inc,7th-8th,4,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,United-States,>50K
200,37,Private-h1,Bachelors,13,Alone,Exec-managerial,Not-in-family,Non-White,Male,0,0,60,United-States,>50K
201,50,Private-h1,Assoc-acdm,12,Alone,Sales,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
202,38,Private-h1,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,0,0,50,Poland,<=50K
203,45,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,55,United-States,<=50K
204,25,Private-h1,10th,6,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
205,31,Private-h1,Some-college,10,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,0,40,United-States,<=50K
206,90,Private-h1,HS-grad,9,Alone,Other-service,Not-in-family,Non-White,Male,0,2206,40,United-States,<=50K
207,54,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Husband,Non-White,Male,0,0,20,United-States,<=50K
208,53,government department,Preschool,1,Alone,Machine-op-inspct,Not-in-family,White-h1,Female,0,0,35,United-States,<=50K
209,18,Private-h1,HS-grad,9,Alone,Sales,Own-child,White-h1,Female,0,0,40,United-States,<=50K
210,66,Self-employed,HS-grad,9,Married-h2,Farming-fishing,Husband,White-h1,Male,1409,0,50,United-States,<=50K
211,75,Private-h1,Assoc-voc,11,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,20,Columbia,<=50K
212,65,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
213,35,Private-h1,11th,7,Married-h2,Transport-moving,Not-in-family,Non-White,Male,3674,0,40,United-States,<=50K
214,41,Private-h1,HS-grad,9,Alone,Sales,Unmarried,Non-White,Female,0,0,38,United-States,<=50K
215,25,Private-h1,Some-college,10,Alone,Adm-clerical,Not-in-family,White-h1,Male,0,0,42,United-States,<=50K
216,33,Private-h1,Some-college,10,Alone,Craft-repair,Other-relative,Non-White,Female,0,0,40,United-States,<=50K
217,28,Private-h1,Prof-school,15,Alone,Prof-specialty,Not-in-family,White-h1,Male,0,0,55,United-States,>50K
218,59,government department,HS-grad,9,Married-h2,Other-service,Husband,White-h1,Male,0,0,40,United-States,<=50K
219,40,government department,Some-college,10,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,38,United-States,<=50K
220,41,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,50,Iran,>50K
221,38,government department,Masters,14,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,70,United-States,>50K
222,23,Private-h1,HS-grad,9,Alone,Transport-moving,Own-child,White-h1,Male,0,0,40,United-States,<=50K
223,40,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,>50K
224,41,Self-employed,HS-grad,9,Married-h2,Other-service,Wife,White-h1,Female,0,0,20,United-States,<=50K
225,24,government department,Assoc-acdm,12,Married-h2,Protective-serv,Husband,White-h1,Male,0,0,50,United-States,<=50K
226,38,Private-h1,Some-college,10,Alone,Craft-repair,Not-in-family,White-h1,Male,0,1741,40,United-States,<=50K
227,58,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,45,United-States,>50K
228,32,Private-h1,HS-grad,9,Alone,Other-service,Not-in-family,White-h1,Female,0,0,34,United-States,<=50K
229,40,Private-h1,Assoc-acdm,12,Married-h2,Tech-support,Husband,White-h1,Male,0,1977,60,United-States,>50K
230,41,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Wife,White-h1,Female,0,0,40,United-States,>50K
231,42,Private-h1,Bachelors,13,Married-h2,Adm-clerical,Wife,Non-White,Female,0,0,40,United-States,<=50K
232,59,government department,10th,6,Alone,Other-service,Unmarried,Non-White,Female,0,0,30,United-States,<=50K
233,19,government department,Some-college,10,Alone,Adm-clerical,Own-child,White-h1,Male,0,0,40,United-States,<=50K
234,58,Private-h1,Some-college,10,Alone,Transport-moving,Not-in-family,White-h1,Male,0,0,20,United-States,<=50K
235,42,Self-employed,HS-grad,9,Married-h2,Farming-fishing,Husband,Non-White,Male,0,0,40,Cambodia,>50K
236,20,Private-h1,HS-grad,9,Alone,Other-service,Own-child,White-h1,Female,0,0,40,United-States,<=50K
237,32,Private-h1,HS-grad,9,Married-h2,Other-service,Not-in-family,White-h1,Female,0,0,30,United-States,<=50K
238,45,Private-h1,Assoc-voc,11,Alone,Exec-managerial,Not-in-family,White-h1,Female,0,0,45,United-States,<=50K
239,50,Private-h1,7th-8th,4,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
240,36,Private-h1,Bachelors,13,Alone,Prof-specialty,Own-child,White-h1,Female,0,0,40,United-States,<=50K
